City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
421,Gisborne,NZ,75.13,clear sky,-38.6533,178.0042,ASURE Alfresco Motor Lodge
422,Port Hedland,AU,84.25,overcast clouds,-20.3167,118.5667,"The Esplanade Hotel (Accommodation section closed for refurbishment - Bar, Restaurant & Functions remain open)"
423,Bayeux,BR,84.83,scattered clouds,-7.125,-34.9322,Infinity Motel
430,Praya,CV,73.94,clear sky,14.9215,-23.5087,LT Aparthotel
431,Bandarbeyla,SO,74.41,clear sky,9.4942,50.8122,JABIR HOTEL
433,Paracuru,BR,82.42,overcast clouds,-3.41,-39.0306,Hotel Vento Brasil
435,Esmeraldas,BR,84.31,light rain,-19.7625,-44.3139,Bom Será - Marcinho e Fernanda
436,Praia,CV,73.94,clear sky,14.9215,-23.5087,LT Aparthotel
439,Eyl,SO,71.56,few clouds,7.9803,49.8164,Amiin Hotel
441,Paka,MY,80.53,overcast clouds,4.6374,103.4368,RUMBIA RESORT VILLA Paka Terengganu
442,Vanimo,PG,76.84,broken clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
443,Chimbote,PE,75.51,few clouds,-9.0853,-78.5783,Hotel Viera Chimbote
445,Vila Velha,BR,80.55,clear sky,-20.3297,-40.2925,Quality Suites Vila Velha
449,Tuy Hoa,VN,72.52,broken clouds,13.0833,109.3,CenDeluxe Hotel Tuy Hoa
460,Richards Bay,ZA,72.88,moderate rain,-28.783,32.0377,BON Hotel Waterfront Richards Bay
461,Mananara,MG,76.17,light rain,-16.1667,49.7667,Chez Roger
463,Cam Ranh,VN,73.36,scattered clouds,11.9214,109.1591,OYO 598 Peony Hotel
467,Tarakan,ID,77.58,overcast clouds,3.3,117.6333,RedDoorz Syariah near Taman Berlabuh Tarakan
469,Kahului,US,83.46,clear sky,20.8947,-156.47,Maui Seaside Hotel
477,Cockburn Town,TC,80.56,few clouds,21.4612,-71.1419,Osprey Beach Hotel
479,Muisne,EC,82.51,scattered clouds,0.6,-80.0333,Quinta Samay
483,Saint-Joseph,RE,79.16,moderate rain,-21.3667,55.6167,"""Plantation Bed and Breakfast"
484,Haapiti,PF,83.93,clear sky,-17.5667,-149.8667,Linareva Moorea Beach Resort
488,Coihaique,CL,73.35,few clouds,-45.5752,-72.0662,Diego De Almagro Coyhaique
489,Ugoofaaru,MV,80.69,clear sky,5.6667,73.0,Ungoofaaru Inn
