City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
275,Plettenberg Bay,ZA,2022-02-02 16:30:36,-34.0527,23.3716,70.29,96,100,8.66
276,Temir,KZ,2022-02-02 16:30:37,49.1414,57.13,17.82,92,99,8.5
277,Hobyo,SO,2022-02-02 16:30:37,5.3505,48.5268,77.74,77,14,17.52
278,Mareeba,AU,2022-02-02 16:30:38,-17.0,145.4333,77.49,96,99,3.4
279,Katangli,RU,2022-02-02 16:30:38,51.7102,143.2326,2.82,88,100,19.04
280,Jiaocheng,CN,2022-02-02 16:30:39,24.6774,116.1389,46.8,96,99,3.78
281,Atar,MR,2022-02-02 16:30:39,20.5169,-13.0499,89.29,12,81,19.39
282,Waingapu,ID,2022-02-02 16:30:40,-9.6567,120.2641,78.53,84,39,8.66
283,Salisbury,GB,2022-02-02 16:30:41,51.0693,-1.7957,54.43,73,40,10.36
284,Pontian Kecil,MY,2022-02-02 16:30:41,1.4801,103.3899,80.73,88,54,6.49
285,Rincon,US,2022-02-02 16:30:41,32.296,-81.2354,63.91,71,75,1.01
286,Olafsvik,IS,2022-02-02 16:30:42,64.8945,-23.7142,31.78,56,64,12.19
287,Tingi,TZ,2022-02-02 16:30:42,-11.3,35.0333,65.95,94,79,4.07
288,Young,UY,2022-02-02 16:30:43,-32.6833,-57.6333,95.23,29,7,5.19
289,Kocevje,SI,2022-02-02 16:30:43,45.6433,14.8633,44.49,93,11,1.57
290,Nago,JP,2022-02-02 16:30:44,26.5881,127.9761,68.07,88,100,8.79
291,Watrous,CA,2022-02-02 16:30:44,51.6668,-105.4679,-25.82,68,52,6.91
292,Hunchun,CN,2022-02-02 16:30:45,42.8675,130.3581,9.84,68,10,10.69
293,Mitsamiouli,KM,2022-02-02 16:30:45,-11.3847,43.2844,80.89,83,75,0.0
